Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,Chrome 91.0.4472.124,,,2021-06-28 20:35:48,2021-06-28 20:35:58,10.686s,FAILED
,,,,,,,
Test Cases/TestCase2,Chrome 91.0.4472.124,,,2021-06-28 20:35:49,2021-06-28 20:35:58,9.851s,FAILED
"openBrowser("""")",Chrome 91.0.4472.124,,,2021-06-28 20:35:49,2021-06-28 20:35:52,3.142s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 91.0.4472.124,,,2021-06-28 20:35:52,2021-06-28 20:35:56,3.485s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",Chrome 91.0.4472.124,,,2021-06-28 20:35:56,2021-06-28 20:35:56,0.472s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Home""))",Chrome 91.0.4472.124,,,2021-06-28 20:35:56,2021-06-28 20:35:57,0.840s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Login""))",Chrome 91.0.4472.124,,,2021-06-28 20:35:57,2021-06-28 20:35:58,1.527s,FAILED
